"","EntrezGeneID","Gene.Name","UniProtID.x","DisGeNETscore","EnsID.GTEx","Brodman1909.area24","Brodmann1909.area9","Amygdala","Caudate.Nucleus","Cerebellar.Hemisphere","Cerebellum","Cerebral.Cortex","Hippocampus.Proper","Hypothalamus","Nucleus.Accumbens","Pituitary.Gland","Putamen","Substantia.Nigra","nBPsassigned","ACMGGene","ACMG.PPI","Human.GeneID","Mouse.GeneID","nMouseKOPhenotype","idgTDL","UniProtID.y"
"1",5728,"PTEN","P60484",0.501687381843894,"ENSG00000171862",13,16,10,10,48,35,12,10,13,11,19,9,11,57,TRUE,TRUE,5728,NA,2,"Tchem","P60484"
"2",2332,"FMR1","Q06787",0.497986587311488,"ENSG00000102081",15,19,12,11,34,27,14,12,13,11,17,10,13,52,TRUE,TRUE,2332,NA,2,"Tbio","Q06787"
"3",7249,"TSC2","P49815",0.484106546385879,"ENSG00000103197",16,18,12,14,86,107,29,13,15,15,84,12,12,16,TRUE,TRUE,7249,NA,2,"Tbio","P49815"
"4",7248,"TSC1","Q92574",0.483007639249027,"ENSG00000165699",15,19,10,14,60,58,22,11,14,15,31,12,12,32,TRUE,TRUE,7248,NA,2,"Tbio","Q92574"
"5",4204,"MECP2","P51608",0.43781639420052,"ENSG00000169057",9,11,6,8,31,28,11,7,9,9,18,6,8,43,TRUE,TRUE,4204,NA,2,"Tchem","P51608"
"6",4128,"MAOA","P21397",0.414782410458571,"ENSG00000189221",19,19,17,18,5,6,17,14,23,18,5,15,21,5,FALSE,TRUE,4128,NA,2,"Tclin","P21397"
"7",7337,"UBE3A","Q05086",0.412924835503709,"ENSG00000114062",11,14,8,9,21,19,12,10,11,11,16,7,9,14,TRUE,TRUE,7337,NA,2,"Tbio","Q05086"
"8",11141,"IL1RAPL1","Q9NZN1",0.40433011601278,"ENSG00000169306",0.6,0.9,0.8,0.8,0.6,0.5,0.8,1,0.7,0.6,NA,0.8,0.9,39,TRUE,TRUE,11141,NA,2,"Tbio","Q9NZN1"
"9",1717,"DHCR7","Q9UBM7",0.402407028523288,"ENSG00000172893",21,20,16,14,14,17,23,20,27,15,22,13,22,6,TRUE,FALSE,1717,NA,2,"Tchem","Q9UBM7"
"10",158,"ADSL","P30566",0.401098907136852,"ENSG00000239900",6,7,4,5,13,13,7,5,7,6,16,5,5,2,TRUE,TRUE,158,NA,2,"Tbio","P30566"
"11",1806,"DPYD","Q12882",0.400274726784213,"ENSG00000188641",2,2,2,2,0.6,0.7,2,2,3,2,9,2,4,2,FALSE,FALSE,1806,"Dpyd",3,"Tclin","Q12882"
"12",6532,"SLC6A4","P31645",0.34930262387553,"ENSG00000108576",NA,NA,NA,NA,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,43,TRUE,TRUE,6532,NA,2,"Tclin","P31645"
"13",26047,"CNTNAP2","Q9UHC6",0.304643863935608,"ENSG00000174469",18,34,11,8,9,7,25,9,15,10,5,8,13,28,FALSE,TRUE,26047,NA,2,"Tbio","Q9UHC6"
"14",2562,"GABRB3","P28472",0.302878833538387,"ENSG00000166206",14,22,6,10,19,14,17,10,10,16,18,8,3,23,TRUE,FALSE,2562,NA,2,"Tclin","P28472"
"15",2020,"EN2","P19622",0.302329379969961,"ENSG00000164778",NA,NA,NA,NA,84,70,NA,NA,NA,NA,NA,NA,2,14,FALSE,FALSE,2020,NA,2,"Tbio","P19622"
"16",9378,"NRXN1","P58400;Q9ULB1",0.297631992615327,"ENSG00000179915",16,26,9,8,34,24,18,9,9,9,4,5,4,50,TRUE,TRUE,9378,"Nrxn1",4,"Tbio","Q9ULB1"
"17",85358,"SHANK3","Q9BYB0",0.296980224732276,"ENSG00000251322",65,69,45,39,237,278,94,62,24,47,37,37,21,54,FALSE,FALSE,85358,NA,2,"Tbio","Q9BYB0"
"18",4897,"NRCAM","Q92823",0.286187690967642,"ENSG00000091129",73,99,47,38,55,52,71,46,44,40,48,29,33,37,TRUE,FALSE,4897,"Nrcam",3,"Tbio","Q92823"
