"","EntrezGeneID","Gene.Name","UniProtID","AbnormalNervousSystem.MouseKOtrait","AbnormalBehaviorNeuro.MouseKOtrait","genes"
"1",1806,"DPYD","Q12882",NA,"increased vertical activity","Dpyd"
"2",1806,"DPYD","Q12882",NA,"abnormal behavior","Dpyd"
"3",9378,"NRXN1","P58400;Q9ULB1",NA,"abnormal locomotor behavior","Nrxn1"
"4",9378,"NRXN1","P58400;Q9ULB1",NA,"tremors","Nrxn1"
"5",9378,"NRXN1","P58400;Q9ULB1",NA,"decreased grip strength","Nrxn1"
"6",4897,"NRCAM","Q92823",NA,"hypoactivity","Nrcam"
"7",4897,"NRCAM","Q92823",NA,"limb grasping","Nrcam"
"8",54413,"NLGN3","Q9NZ94",NA,"hyperactivity","Nlgn3"
"9",54413,"NLGN3","Q9NZ94",NA,"decreased startle reflex","Nlgn3"
"10",54413,"NLGN3","Q9NZ94",NA,"abnormal behavior","Nlgn3"
"11",93986,"FOXP2","O15409",NA,"hypoactivity","Foxp2"
"12",22941,"SHANK2","Q9UPX8",NA,"limb grasping","Shank2"
"13",3105,"HLA-A","P01891;P01892;P04439;P05534;P10314;P10316;P13746;P16188;P16189;P16190;P18462;P30443;P30447;P30450;P30453;P30455;P30456;P30457...",NA,"decreased vertical activity","H2-Q10"
"14",116987,"AGAP1","Q9UPQ3",NA,"absent pinna reflex","Agap1"
"15",1312,"COMT","P21964",NA,"hyperactivity","Comt"
"16",1312,"COMT","P21964",NA,"abnormal locomotor behavior","Comt"
"17",1312,"COMT","P21964",NA,"abnormal behavior","Comt"
"18",1312,"COMT","P21964",NA,"increased grip strength","Comt"
"19",6999,"TDO2","P48775",NA,"abnormal sensory capabilities/reflexes/nociception","Tdo2"
"20",5617,"PRL","P01236",NA,"decreased vertical activity","Prl7b1"
"21",139411,"PTCHD1","Q96NR3",NA,"hyperactivity","Ptchd1"
"22",139411,"PTCHD1","Q96NR3",NA,"abnormal locomotor behavior","Ptchd1"
"23",139411,"PTCHD1","Q96NR3",NA,"abnormal vocalization","Ptchd1"
"24",139411,"PTCHD1","Q96NR3",NA,"abnormal behavior","Ptchd1"
"25",139411,"PTCHD1","Q96NR3",NA,"increased aggression","Ptchd1"
"26",23705,"CADM1","Q9BY67",NA,"abnormal behavior","Cadm1"
"27",23705,"CADM1","Q9BY67",NA,"decreased grip strength","Cadm1"
"28",54538,"ROBO4","Q8WZ75",NA,"decreased vertical activity","Robo4"
"29",4915,"NTRK2","Q16620","decreased prepulse inhibition",NA,"Ntrk2"
"30",4642,"MYO1D","O94832",NA,"decreased startle reflex","Myo1d"
