"","V1","V3"
"1","TP53","SP1"
"2","TP53","MAPK8"
"3","TP53","MAPK1"
"4","TP53","MAPK3"
"5","TP53","BCL2"
"6","TP53","HRAS"
"7","TP53","MAPK10"
"8","TP53","IGFBP3"
"9","TP53","PTEN"
"10","TP53","EP300"
"11","TP53","YWHAZ"
"12","TP53","PPP4C"
"13","TP53","USP7"
"14","TP53","SUB1"
"15","TP53","SET"
"16","TP53","YWHAE"
"17","TP53","PITX1"
"18","TP53","RNF40"
"19","TP53","AR"
"20","TP53","UBE3A"
"21","TP53","APC"
"22","TP53","XPO1"
"23","TP53","TOP1"
"24","TP53","GHR"
"25","TP53","PTK2"
"26","TP53","CDK5"
"27","TP53","RFC1"
"28","TP53","CUL7"
"29","TP53","STATH"
"30","TP53","CHD8"
"31","TP53","SETD2"
"32","TP53","ERBB4"
"33","TP53","RASGRF1"
"34","TP53","TAF1C"
"35","TP53","BAG1"
"36","TP53","SNRPN"
"37","TP53","NR3C1"
"38","TP53","CASP1"
"39","TP53","ESR1"
"40","TP53","MTOR"
"41","TP53","MSX1"
"42","TP53","TWIST1"
"43","TP53","SKI"
"44","TP53","MUL1"
"45","TP53","ZMYND11"
"46","TP53","PTGS2"
"47","TP53","PARK7"
"48","TP53","EHMT1"
"49","TP53","TXNRD1"
"50","TP53","DHFR"
"51","TP53","MIF"
"52","TP53","AGT"
"53","TP53","DHCR24"
"54","TGFBR2","SP1"
"55","TGFBR2","CTNNB1"
"56","TGFBR2","APP"
"57","TGFBR2","DAB2"
"58","TGFBR2","MED12"
"59","NF2","SOS1"
"60","NF2","ARHGAP32"
"61","NF2","TSC1"
"62","RB1","BCL2"
"63","RB1","PAX6"
"64","RB1","PNO1"
"65","RB1","EP300"
"66","RB1","MCM7"
"67","RB1","DYRK1A"
"68","RB1","DDIT3"
"69","RB1","RNF40"
"70","RB1","AR"
"71","RB1","DNMT3A"
"72","RB1","NCOA6"
"73","RB1","CDK5"
"74","RB1","RFC1"
"75","RB1","BAG1"
"76","RB1","PRKCB"
"77","RB1","VEGFA"
"78","RB1","NOTCH1"
"79","RB1","SKI"
"80","RB1","INS"
"81","RB1","CUX1"
"82","SDHAF2","PLAUR"
"83","ACTC1","ESR1"
"84","ACTC1","ITGA4"
"85","STK11","APP"
"86","STK11","FKBP5"
"87","STK11","SIK1"
"88","SCN5A","NEDD4"
"89","SCN5A","SNTG2"
"90","SCN5A","ANK3"
"91","PTEN","AR"
"92","PTEN","CRKL"
"93","PTEN","PTK2"
"94","PTEN","ESR1"
"95","PTEN","MED12"
"96","PTEN","PARK7"
"97","KCNH2","YWHAE"
"98","VHL","APRT"
"99","VHL","FABP5"
"100","VHL","RANBP1"
"101","VHL","PTGES3"
"102","VHL","RAB2A"
"103","VHL","SET"
"104","VHL","ADRB2"
"105","VHL","ACTB"
"106","VHL","APP"
"107","VHL","SNRNP70"
"108","VHL","COL4A1"
"109","VHL","JMJD1C"
"110","VHL","MIF"
"111","VHL","CNTF"
"112","MYH11","EIF3A"
"113","MYH11","ACTB"
"114","MYH11","APC"
"115","MSH6","RFC1"
"116","MSH6","ESR1"
"117","MEN1","GFAP"
"118","MEN1","TCF4"
"119","MEN1","CXXC1"
"120","MEN1","ESR1"
"121","TSC2","YWHAB"
"122","TSC2","YWHAE"
"123","TSC2","UBE3A"
"124","TSC2","PTK2"
"125","TSC2","ESR1"
"126","TSC2","MTOR"
"127","TSC2","TSC1"
"128","SDHB","NDUFS1"
"129","SDHB","GEM"
"130","SDHB","ITGA4"
"131","MYH7","DISC1"
"132","DSP","ESR1"
"133","MSH2","RFC1"
"134","MSH2","ESR1"
"135","MSH2","ESR2"
"136","MLH1","GSTP1"
"137","MLH1","ALDOA"
"138","MLH1","DNMT3B"
"139","MLH1","MBD4"
"140","MLH1","RFC1"
"141","MLH1","FAN1"
"142","MLH1","HSD17B3"
"143","SMAD4","AR"
"144","SMAD4","SERPINE1"
"145","SMAD4","APP"
"146","SMAD4","SNRNP70"
"147","SMAD4","NF1"
"148","SMAD4","VEGFA"
"149","SMAD4","TRIM33"
"150","SMAD4","ELN"
"151","SMAD4","SKI"
"152","SMAD4","ZNF423"
"153","SMAD4","PLG"
"154","SMAD4","DLX1"
"155","TPM1","ESR1"
"156","SMAD3","SERPINE1"
"157","SMAD3","APP"
"158","SMAD3","TF"
"159","SMAD3","GTF2IRD1"
"160","SMAD3","NCOA6"
"161","SMAD3","MBD1"
"162","SMAD3","CHD8"
"163","SMAD3","SETD2"
"164","SMAD3","SNRNP70"
"165","SMAD3","HEY1"
"166","SMAD3","GRIP1"
"167","SMAD3","DAB2"
"168","SMAD3","CYP11A1"
"169","SMAD3","NR3C1"
"170","SMAD3","NF1"
"171","SMAD3","PIK3CA"
"172","SMAD3","ESR1"
"173","SMAD3","RAB11FIP5"
"174","SMAD3","SOX9"
"175","SMAD3","VEGFA"
"176","SMAD3","PITX2"
"177","SMAD3","TRIM33"
"178","SMAD3","NOTCH1"
"179","SMAD3","ELN"
"180","SMAD3","SKI"
"181","SMAD3","KDM5C"
"182","SMAD3","ZMYND11"
"183","SMAD3","PLG"
"184","SMAD3","ANK3"
"185","SMAD3","TNC"
"186","APC","XPO1"
"187","APC","SYNE1"
"188","APC","LRP8"
"189","APC","NOSTRIN"
"190","APC","MBD5"
"191","BRCA1","HERC2"
"192","BRCA1","CDK5"
"193","BRCA1","RFC1"
"194","BRCA1","SH2B1"
"195","BRCA1","RNF216"
"196","BRCA1","ESR1"
"197","BRCA1","MTOR"
"198","BRCA1","CNTN4"
"199","BRCA1","H2AFY"
"200","BRCA1","ACACA"
"201","BRCA1","POMGNT1"
"202","BRCA1","INPP1"
"203","BRCA1","PHB2"
"204","PMS2","FAN1"
"205","PKP2","CLK2"
"206","TSC1","RAB11FIP5"
"207","TGFBR1","SKI"
"208","ACTA2","SHBG"
"209","BMPR1A","ZMYND11"
"210","LDLR","DAB1"
"211","RYR1","RYR2"
"212","GLI3","CREBBP"
"213","GLI3","BCL2"
"214","GLI3","YWHAE"
"215","GLI3","SKI"
"216","GLI3","MED12"
"217","GLI3","CHD7"
"218","SIN3A","HTT"
"219","SIN3A","TP53"
"220","SIN3A","SP1"
"221","SIN3A","SETDB1"
"222","SIN3A","SMARCA2"
"223","SIN3A","BAZ1B"
"224","SIN3A","AR"
"225","SIN3A","DNMT3B"
"226","SIN3A","MBD4"
"227","SIN3A","ESR1"
"228","SIN3A","MBD3"
"229","SIN3A","MAF"
"230","SIN3A","SKI"
"231","SIN3A","TBL1X"
"232","SIN3A","MECP2"
"233","CREBBP","HTT"
"234","CREBBP","TP53"
"235","CREBBP","AKT1"
"236","CREBBP","SP1"
"237","CREBBP","CTNNB1"
"238","CREBBP","MAPK10"
"239","CREBBP","SRC"
"240","CREBBP","IL6"
"241","CREBBP","EP300"
"242","CREBBP","SMARCA2"
"243","CREBBP","DYRK1A"
"244","CREBBP","SND1"
"245","CREBBP","LIG4"
"246","CREBBP","AR"
"247","CREBBP","APC"
"248","CREBBP","NCOA6"
"249","CREBBP","SETD1A"
"250","CREBBP","PRLR"
"251","CREBBP","GRIP1"
"252","CREBBP","NR3C1"
"253","CREBBP","ESR1"
"254","CREBBP","NPAS2"
"255","CREBBP","TNF"
"256","CREBBP","ESR2"
"257","CREBBP","MSX1"
"258","CREBBP","VEGFA"
"259","CREBBP","MAF"
"260","CREBBP","FOSB"
"261","CREBBP","NEUROG1"
"262","CREBBP","HOXD13"
"263","CREBBP","CUX1"
"264","MTNR1A","MTNR1B"
"265","MTNR1A","RAC1"
"266","HTT","TP53"
"267","HTT","AKT1"
"268","HTT","SP1"
"269","HTT","CTNNB1"
"270","HTT","HIP1"
"271","HTT","MAP1LC3B"
"272","HTT","MBD1"
"273","HTT","MBD4"
"274","HTT","SETD2"
"275","DLG3","APC"
"276","DLG3","DLG4"
"277","DLG3","ERBB4"
"278","DLG3","ATP2B2"
"279","DLG3","LRP2"
"280","DLG3","GRIN2A"
"281","MPDZ","HTR2A"
"282","MPDZ","DRD3"
"283","DLG2","DLG4"
"284","DLG2","ERBB4"
"285","DLG2","ATP2B2"
"286","DLG2","LRP2"
"287","DLG2","NOS1"
"288","DLG2","GRIN2A"
"289","LIN7B","CASK"
"290","LIN7B","DLG4"
"291","TP53","SP1"
"292","TP53","MAPK8"
"293","TP53","MAPK1"
"294","TP53","MAPK3"
"295","TP53","BCL2"
"296","TP53","HRAS"
"297","TP53","MAPK10"
"298","TP53","IGFBP3"
"299","TP53","PTEN"
"300","TP53","EP300"
"301","TP53","YWHAZ"
"302","TP53","PPP4C"
"303","TP53","USP7"
"304","TP53","SUB1"
"305","TP53","SET"
"306","TP53","YWHAE"
"307","TP53","PITX1"
"308","TP53","RNF40"
"309","TP53","AR"
"310","TP53","UBE3A"
"311","TP53","APC"
"312","TP53","XPO1"
"313","TP53","TOP1"
"314","TP53","GHR"
"315","TP53","PTK2"
"316","TP53","CDK5"
"317","TP53","RFC1"
"318","TP53","CUL7"
"319","TP53","STATH"
"320","TP53","CHD8"
"321","TP53","SETD2"
"322","TP53","ERBB4"
"323","TP53","RASGRF1"
"324","TP53","TAF1C"
"325","TP53","BAG1"
"326","TP53","SNRPN"
"327","TP53","NR3C1"
"328","TP53","CASP1"
"329","TP53","ESR1"
"330","TP53","MTOR"
"331","TP53","MSX1"
"332","TP53","TWIST1"
"333","TP53","SKI"
"334","TP53","MUL1"
"335","TP53","ZMYND11"
"336","TP53","PTGS2"
"337","TP53","PARK7"
"338","TP53","EHMT1"
"339","TP53","TXNRD1"
"340","TP53","DHFR"
"341","AKT1","CTNNB1"
"342","AKT1","SETDB1"
"343","AKT1","SRC"
"344","AKT1","NEDD4"
"345","AKT1","PTEN"
"346","AKT1","EP300"
"347","AKT1","YWHAZ"
"348","AKT1","PPL"
"349","AKT1","TSC2"
"350","AKT1","PREX1"
"351","AKT1","ACTB"
"352","AKT1","YWHAE"
"353","AKT1","SMAD4"
"354","AKT1","AR"
"355","AKT1","ITPR1"
"356","AKT1","APP"
"357","AKT1","FKBP5"
"358","AKT1","ALDOA"
"359","AKT1","ARHGAP32"
"360","AKT1","ESR1"
"361","AKT1","MTOR"
"362","AKT1","TSC1"
"363","AKT1","CTNND2"
"364","AKT1","NOTCH1"
"365","AKT1","SKI"
"366","AKT1","MAPT"
"367","AKT1","MUL1"
"368","AKT1","CLK2"
"369","AKT1","PHB2"
"370","TNFRSF1B","SLC25A1"
"371","TNFRSF1B","XPO1"
"372","TNFRSF1B","SLC1A3"
"373","TNFRSF1B","TNF"
"374","SP1","MAPK8"
"375","SP1","MAPK1"
"376","SP1","MAPK3"
"377","SP1","CRK"
"378","SP1","HRAS"
"379","SP1","RPL10"
"380","SP1","SRC"
"381","SP1","ACTC1"
"382","SP1","IGFBP3"
"383","SP1","EP300"
"384","SP1","SUB1"
"385","SP1","GH1"
"386","SP1","NTRK1"
"387","SP1","ABCB1"
"388","SP1","CBS"
"389","SP1","SMAD4"
"390","SP1","GFAP"
"391","SP1","AR"
"392","SP1","ITGAV"
"393","SP1","SERPINE1"
"394","SP1","ALDOA"
"395","SP1","PRLR"
"396","SP1","RFC1"
"397","SP1","IFNG"
"398","SP1","CAT"
"399","SP1","CDH2"
"400","SP1","ESR1"
"401","SP1","CTSD"
"402","SP1","IL2"
"403","SP1","IL1B"
"404","SP1","TNF"
"405","SP1","ESR2"
"406","SP1","MEF2C"
"407","SP1","NGFR"
"408","SP1","ADORA2A"
"409","SP1","CCL2"
"410","SP1","IL10"
"411","SP1","IL1A"
"412","SP1","MSX1"
"413","SP1","APOE"
"414","SP1","SOX9"
"415","SP1","HTR1A"
"416","SP1","VEGFA"
"417","SP1","GJA1"
"418","SP1","ADA"
"419","SP1","MAOB"
"420","SP1","NOS1"
"421","SP1","SLC19A1"
"422","SP1","SOD1"
"423","SP1","COL4A1"
"424","SP1","AGER"
"425","SP1","SMARCA1"
"426","SP1","CYP17A1"
"427","SP1","MECP2"
"428","SP1","KIR3DL1"
"429","SP1","OPRM1"
"430","SP1","FMR1"
"431","SP1","ATF6"
"432","SP1","ROBO4"
"433","SP1","POGZ"
"434","MAPK8","CTNNB1"
"435","MAPK8","BCL2"
"436","MAPK8","CRK"
"437","MAPK8","HRAS"
"438","MAPK8","MSN"
"439","MAPK8","HSD17B4"
"440","MAPK8","GSTP1"
"441","MAPK8","APP"
"442","MAPK8","DAB2"
"443","MAPK8","MTOR"
"444","MAPK1","MAPK3"
"445","MAPK1","BCL2"
"446","MAPK1","EP300"
"447","MAPK1","GTF2I"
"448","MAPK1","TSC2"
"449","MAPK1","HLA-B"
"450","MAPK1","AR"
"451","MAPK1","CRKL"
"452","MAPK1","GSTP1"
"453","MAPK1","MBP"
"454","MAPK1","IL4"
"455","MAPK1","ESR1"
"456","MAPK1","CTSD"
"457","MAPK1","ESR2"
"458","MAPK1","NOTCH1"
"459","MAPK1","TH"
"460","MAPK3","GTF2I"
"461","MAPK3","BAZ1B"
"462","MAPK3","GH1"
"463","MAPK3","MBP"
"464","MAPK3","IL4"
"465","MAPK3","TH"
